input	target
@USER @USER I kind of feel like AntiFa are terrorists.but maybe I'm overstating it lol 🤷‍♂️	1
@USER Yay!! So happy she is well hehe.	0
@USER @USER achichincle lamebotas!	1
@USER Another Fraud Senator from the Left!!!	1
@USER High class Vogue!!	0
@USER @USER You can tell he is a hooper too	0
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER She is a pathological liar	1
@USER @USER Endless Dreg here...😀😀😀😀@USER 🇺🇸🇺🇸🇺🇸#MAGA    &gt;&gt;&gt;&gt;&gt; @USER &lt;&lt;&lt;&lt;&lt;&lt; Pervert supreme of society	1
@USER Absolutely. We conservatives have another strong lady to lead our country 2019.	0
@USER She is 100% lying. But you don’t understand the mind of a leftwing nutjob liberal. They are a cult. Money means nothing to them. It’s stopping trump by any means	1
@USER NANSBABH BITCH STFU	1
@USER @USER @USER @USER @USER @USER @USER That’s a blatant lie. ANTIFA is the worse hate group. Look at what they did at Berkeley university in California. They nearly destroyed it over a guy they disagreed with. It wasn’t the KKK OR WHITE SUPREMACY. They are shutting down free speech	1
@USER Well she is a “Christian.” 🙄	0
@USER Francis must be forced aside. The Church needs to be cleansed top to bottom.	1
@USER @USER @USER @USER You mean the utter contempt Brexiteers are showing to businesses who are now virtually screaming that this is economic suicide? Mark my words JLR is only the start. Already small companies are moving to mainland EU as they cost of leaving is being put on them	0
@USER So Liberals CAN stand.	0
@USER Thus far the only people getting shot and kicked out of places are conservatives. #MAGA #WalkAway #ConfirmKavanaugh	1
@USER @USER @USER You’ve got too many NewYork Liberals moving into the state. I see it in my town.	0
@USER @USER Glad to follow Don. Great that he is Trump supporter.	0
@USER @USER @USER @USER @USER @USER That’s right...he lies all day long and he is still terrible at it...anyone else would have mastered it by now...he’s definitely got 10000hr	0
@USER @USER @USER and i do disagree with moffats philosophy behind the doctor not liking endings. i also dont think its impossible to say that both things are true: the impact of claras death is undercut AND there is a lesson for the doctor. clara is as much ready to die as she is to keep on going	0
@USER @USER Is no one considering the fact that Russia might be using Antifa to spread black propaganda??? Remember the Berlin Wall???	1
@USER @USER @USER @USER @USER @USER @USER And the United States is 94th in murder rate.  Thanks for proving that gun control is useless except for authoritarians.	0
@USER Another tweet to prove even further that he is a pure narcissistic sociopath!! America deserves better &amp; we need to demand better.	0
@USER @USER What if she is saying lies? Were you present?	0
@USER @USER @USER You have of notice that he is not too much appreciated anymore here at the moment ! Good evening  ! 😘 I'sorry for my English wrote.	0
2/ #MaximeBernier supporters @USER not conservative enough.   We need to move to the right!!!  But Max says room for the NDP but not conservatives.  I don’t understand why thoughtful Conservatives aren’t calling out this hypocrisy.  I keep getting this meme   It’s a fraud. URL	0
@USER Hey dipstick why don’t you sign Kaepernick? You love him so much	0
@USER 🙄She’s NOT claiming rape! And FBI does NOT have jurisdiction! The day said they won’t do it more than once He’s had 6 FBI background checks if there was anything they would’ve found it Also HOW do you investigate something when complainant doesn’t even know WHEN or WHERE? #MAGA	1
@USER He obviously doesn’t care.	0
@USER Chicago Tribune: London Mayor Sadiq Khan And The Ties To Farrakhan He’d Rather Forget URL via @USER	0
@USER Once again if you look at the timeline the only ones who are so proud of her is liberal or white liberals. Like I tell my Hispanic community when you see liberals offended for minorities becareful these people are not your friend.	0
@USER all these  accusations  were to just write a book . There was never an affair  If it were true why would we trust u  . You took the money  and still told about it.  Why do people call you by your prostitute name  . Maga 45 .	0
@USER @USER @USER It just seems like this is another way of the liberals to change history.	0
@USER @USER It's her choice her life...why would you want someone at your wedding if they don't want to be there. At least she is being honest .	0
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER I LOve pointing out to ANTiFA shit bags that they are in fact the thugs they claim to be against. URL	0
@USER @USER Omfg 😂😂😂😂😂  You are so right 😂	0
@USER @USER And that's where you are seeing what you want to see. You think these people want to look manly and powerful. I see them expressing solidarity. what a useless thing to mock.	1
@USER @USER I am talking about your comment that Nick was a fascist...   Brittany means nothing to me.   So like I said are you Antifa?	1
@USER @USER Guy you are always present...bet why? Lol	0
#Protests Reported in #Sunderland  Except these are #football fan and one #flag says #WestBrom on it?!  Getting worse now even as I type?!  #MAGA #MEGA #MBGA #MCGA #Conservatives #Patriots #Muslims #FarLeft #Leftists (doomed to lose but do not realises it) #CivilWar soon? URL	0
"@USER @USER @USER Andy, you literally went on vacation right after making that pressing"" announcement. You're a joke and this is why real conservatives are turning to Bernier"""	0
@USER She is probably waiting on her private pay off	0
@USER  living up to his nickname tonight! Fucking nightmare. #UFC228	1
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER In EXACTLY THE way 🐦 DEFENDS PEDOPHELIA... POLITICIZED SCIENCE... ANTIFA RIOTS...  because they FURTHER the cause... One MAN/ENTITY...totally in charge of the whole world  Superstitious?	0
@USER Really another one holy crap wow all brought to you by the Liberals.	1
@USER Why don't you say he knew those emails were approved to be released.  He knew he could release them.  His grand standing got called out and his theatrics are unbecoming of a US Senator.  Call him out or you are FAKE news just like @USER calls you.	1
@USER Comes with the territory but I’m going to say it’s the same leftist that control antifa...just to make more out of it than it actually is! Just saying	0
@USER ugh love you gamecocks stay safe and come home to us soon ❤️	0
@USER @USER @USER @USER Uns connects fixolas ahha	0
@USER @USER ILLEGAL ASSEMBLY   Look it up.	0
2019 tours will include flights and hotels.	0
@USER @USER @USER Lying PM just like Bliar! End of Tory party &amp; I'm tory party member! Remainers refuse to discuss this with me in Tory party ! Please get rid of this total liar who hooks up with corrupt convict @USER from @USER @USER @USER @USER @USER @USER	1
@USER She’s a great comedian. Where as you are a great....nothing.	1
"@USER @USER I disagree. See Antifa."""""	0
@USER Girl you are so bomb 😍	0
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER damn... then I'll drink and fight right next to him... OOH RAH its party time and Antifa are the pinatas	0
@USER And we are worried about Russia election meddling? Now I understand why Google backed out of government deal when Trump was elected. This is result of company getting too big.	0
@USER She is incredibly stupid and perhaps the reason why she was chosen to ‘entropy‘ the trade talks. Trudeau will destroy everything of reason in Canada. Would you allow a terrorist destroy Canada? Then why have Trudeau?	1
@USER @USER Are you still dating JJ from “goodtimes “???Dyn-o-mite URL	0
@USER Can we have a discussion about sensible gun control laws? I'm interested in having a discussion about sensible gun control laws.   Hello?  Hello?  Is this thing on?	0
@USER The only deep disgrace and abuse of rights is your existence in relativity.  Even the generation before mine knows who you are RAE.  Low life opportunist. Government over people. Suck a liberal dick you alt left Nazi!	1
@USER @USER I miss Pope Benedict XVI so much.	0
@USER Law breakers love these liberals	0
"@USER @USER I think his character rubbed off on my Knight. She is somewhat witty like him, such as when she says I don't need to see you when I can smell you"" to the Sith on Alderaan. He was a good Master."""	0
@USER @USER Why do all you liberals insist on trying to control everyone in America? Why do you insist those of us that work hard for our money have to give it to people who don't? Why do all you liberal millionaires keep your millions while forcing me to give away every dime I make?	0
@USER @USER Now thats a diffrent situation but either way you gotta appreciate considering the fact that he is actually liking it just to impress it means he aint like that	0
@USER There must be a cash prize or something for whoever comes up with the first “conservatives pounce” take.	1
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER 😁TeleSmokaCatin'  damn that looked better in my head😁😉🤣😎	1
@USER Funny how he believes ANTIFA is a thing but calls himself Reality Checks. 🙄	0
"@USER @USER @USER LOCK HER UP! Haa! Looool. CANNOT WAIT! What a blatant lie! Somebody is scared boy!! If that F******* B****** trump gets in, we all hang from nooses!"" Who remembers that one? Can't imagine the anxiety she is feeling. Makes me smile."""	1
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER mine I tell him if you act like antifa I will knock your block...you wanna get bad...i dont care how handicap I will take you down	0
@USER you literally told me that you thought I was being “a fake nice bitch” URL	1
@USER ANTIFA task force?	0
@USER you never were a slave. Spartacus was a slave and a heroic figure. You are neither.	1
@USER Oh man I was just telling myself this today. Such good and encouraging advice when you are doing something new.	0
@USER @USER Isnt it wat Left &amp; Liberals hve been doing in India ?	0
@USER Did every other comedian suddenly die?	0
@USER @USER How about because he is useless?	0
@USER Could CBC get liberals to tell us the definition of middle class? They don't seem to know.  Also MPs use the term ordinary canadians.  Are these born Canadians?  Special are boarder crossers? I would love an answer.  Liberals are in mute on this point.  Butthead has not told them	0
"@USER Another Dem-run sanctuary city"" with strict gun control laws . . . the ultimate fail."""	0
@USER Antifa's been busy lately it seems.	0
@USER DANGEROUS OBNOXIOUS GARBAGE....good luck doctor	0
@USER Liberals with their lies again.	1
"@USER I just said that very same thing. That Christians"" create a life/death for Dr. Ford or Stormy Daniels who tell their stories, but I don't see (not counting Antifa) that happening from us to them. It's so weird.  Not very Christ-like of them, at the least of it, and so vile, etc"""	0
@USER @USER @USER We love an eagles family	0
@USER You mean he is a URL	0
#Tories #Labour #GE2017 #Conservatives Conservatives URL Rehman_Chishti: A wonderful experience reading Elmer the Elephant to young Karachiites at pkBritish BritishCouncil Library.  Great to be able to promote the amazing work of Bri… URL	0
@USER @USER @USER What a piece of shit	1
The Swamp in DC &amp; NY is all about Self-Enrichment!!💰💰  #WeThePeople Must Take Our Country Back!✊  #TakeUSABack #MAGA #AmericaFirst #USA🇺🇸  #MondayMotivation #MondayMorning #MondayMood #ConstitutionDay URL	0
GOTTA LOVE A PRESIDENT THAT ACTUALLY CARES ABOUT THE PEOPLE OF THIS NATION!!!! #MAGA!!! #OBAMASUCKS URL	0
@USER Gun control works. It just does.	0
@USER @USER @USER @USER Chris Burns you are a fascist. Nothing more than that.	1
@USER @USER @USER @USER @USER Sir I know the difference pretending to be someone else is lying who you are the age where you from etc etc etc. but thats not the point the point is a lot of people are doing both and they been doing it since forever to kill their victims. And it sucks!!!	1
"@USER @USER @USER I also grew up in California.  Doesn't matter where you are from.  And just because you've heard worse"" doesn't mean jack.  The president of the united states should not brag about that.  Nor about watching beauty pageant contestants change."""	0
22 kids a day. Every day.  URL	0
@USER He makes dope ass songs. He’s a singer/writer URL	1
@USER Literally Sam is quitting smoking mid competition and obviously having some mood swings from it. She is a fantastic human being and you’re portraying her as shit and portraying JC as a cute little dude when he groped Tyler in his sleep. Shame.	1
"@USER ......Oh What about Kyle's since he is one of your many adoptive dads"""""	0
@USER Boycott NFL. Let’s bring them to their knees!!!!!!!	0
@USER Fear monger. Fake rage.	0
@USER @USER You are seriously so despicable. How can you even look you kids in the eye...	1
@USER It's a testament to how fucked this world is...that she is free to spout all this bullshit and not be in jail or even being investigated for statutory rape.	1
@USER @USER @USER well?	0
#Tories #Labour #GE2017 #Conservatives Conservatives URL knew Jeremy_Hunt had such language skills 👌🇬🇧🇯🇵  You'll want your sound on 🔊 URL	0
@USER Flake I lost 17 guys lost let the guy do his job and think of the people instead of your non existent career	0
@USER *fingers crossed* she is enjoying school but going...konjam sad and little tears.  no tanrums though...	0
@USER @USER Billy you have a short memory. Obama tried to get in commonsense gun control is especially after Sandyhook. The parents even came in and begged Congress to do something about automatic weapons. But the NRA had such a hold on Congress Democrats and repugs nothing was done	0
@USER @USER @USER Mickie is 39 now? She is on her way out.	0
@USER So is it time for each of us to tell about wild times we had in high school and college???  Liberals are such jackasses.  Let he who is perfect cast the first stone....will never be a liberal	0
@USER Look in the mirror lefties!  No bigger bullies than antifa and progressive leftist trying to “get in the faces” of the right	1
@USER Traditionalists and fuddy-duddy conservatives form a convenient horseshoe with feminists when it comes to a lot of women's issues.  Their reasons are grounded in chivalry and sex differences rather than equality but the result looks very similar.	0
@USER Everyone knows Brown is crazy!	1
@USER @USER And you are sure she is lying?	0
@USER Democrats gave birth to ANTIFA &amp; BLM.	0
@USER Eric Holder should be in PRISON !!	1
@USER @USER @USER 🤣🤣 because they don’t exist!	0
@USER I still want him to fuck my pussy with a rake. URL	1
@USER He’s trying to go on the campaign trail for big pay!  We know what Iran loving Hussein is up to.  No match for Presidrnt Trump who gives his salary to charity.	0
#GunControl #BulletControl.  California Tries New Tack on Gun Violence: Bullet Control   via @USER URL	0
@USER he is already on betfair exchange but not on sportbooks.	0
@USER @USER maybe not where you are.	0
@USER I love you so freaking much !! You are an amazing and loving soul. Don’t listen to the ignorance of bitter people who loves to tear people down. We love you and take the time you need to grieve ❤️ URL	0
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER I am calling people that hate antifa fascists. Anti-Fascism! What do you call the opposition to anti-fascism?	0
@USER @USER @USER @USER @USER still lies just like Obama.He talks right &amp; then votes Left. He did NOT vote for the @USER TaxReform bill! Data shows 80%+ WV taxpayers use the Std Deduct &amp; child tax credits- this bill doubled their deductions WITHOUT Joe's help! Vote him OUT on Nov 6th ! #MAGA	0
@USER Get him some line help. He is gonna be just fine. As the game went on you could see him progressing more with his reads. He brought what has been missing. The deep ball presence. Now he just needs a little more time	0
@USER @USER #MAGA Boy go donate to Trump...he's looking for more GOP suckers like you to cover up his porn stars...shhh don't let his wife know either	1
@USER @USER Great and I’m certainly anti fascist but  the group antifa is the most fascist and violent groups in America in case you hadn’t noticed and associated with the largest hate group in America the democratic party	1
@USER Girl he is fine. Lol	0
@USER LOL LOL LOL LOL LOL!!!!!!!😂😂😂😂😂😂😂. You are a fool!!!	1
@USER @USER You know what wasn’t in his apartment after? Him. And that’s the fucking problem.	1
@USER With his time of service he is going through waivers? I thought he was a vet who just went to free agency. I guess it just depends on his last two seasons and if they count?	0
@USER She used her power and authoritative position over this child to manipulate him and get him drunk so she would have him at her disposal. Now she is using her gender as an excuse and claiming the victim assaulted her when we have text messages and pictures that show otherwise	0
@USER And has NOTHING to do with math!	0
@USER Yes Liberals vs progressives This should be a really dumb banter  Go	1
@USER boy you sleeeeeeepppp 😭😭 ass be ret on Pansy or Bailey tonight 😂😂😌	0
".@USER : Jack Dorsey, to his credit, has openly acknowledged that he has a culture within his company that is hostile to conservatives. Now the question is, what is he going to do about it?"" URL URL"	0
@USER Right like.... the name thing is odd enough but. In that location as well.	0
@USER A resounding NO! 🇺🇸 #MAGA	1
@USER I can tell you suck but sure	1
@USER Desperation! Abuse of my power cause he is losing his mind	1
#Tories #Labour #GE2017 #Conservatives Conservatives URL theresa_may: We have three fantastic shortlisted Conservative candidates for Mayor of London in ShaunBaileyUK andrewboff and joymorrissey - all proud advocates for London. If y… URL	0
@USER Here's a link to my channel with a plethora of topics to peruse: URL	0
"@USER @USER @USER I hear the words well, but I have no faith"" - As far as I know, she is a co-founder of a right-wing Islamic youth association, whose policy can certainly be regarded as a forerunner of islamic-extremism.  Dear Mr. Grenell,  let us hope that you are right in your assessment!"""	0
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER He is an angry puppet who is trying to pretend that teaching children acceptance of others and tolerance is somehow political and wrong. That's just how hate filled he and his party are. That's the real politicizing. NOT teaching kids gay people exist. Party of lies.	0
#KKK &amp; Gun Control are traditions of @USER   Dems started the #KKK because they hated blacks  Then they started gun control to stop the @USER from arming the Klan's victims  #2A #Gunsense is gun ownership! #WhateverItTakes to inform liberals of the truth! URL	1
"@USER My husband is getting his PhD in physics while I'm getting mine in chemistry. We usually get the wide-eyed recoil that clearly says, you are not normal humans, and I can have nothing in common with you."" Followed by the polite excuse to stop talking with us."""	0
@USER @USER @USER Trump call them very find people so lets talk about groups like Antifa and black life matter people that has form to fight hate groups y’all would like to apply some type of moral equivalency to hate groups and them just like ICE was form to stop illegal immigrants we luv them	1
@USER @USER @USER Hahahahaha!! really?: Stiglitz is Nobel prize 💡. You are a simple stockbroker 💩😂.	0
@USER @USER Thank you President Trump! ALL of America is benefiting for todays' economy too! And most importantly? President Trump gets ALL the credit! = #MAGA URL	0
@USER Seriously who's the dick that unfollowed	0
@USER @USER Why did Feinstein NOT come forward with that letter 6 weeks ago then?  No need then to question him way back then?   LOL you liberals are very funny.  I am sure the  #MeToo movement appreciates the set back you all just gave it.	0
@USER @USER Ikkk he is a fucking prince 6al3 mn al stories bta3in Disney kida ahhooo😹😭😹😭😹💜💜💜	1
@USER @USER And don’t forget #supplymanagement! He has been stubbornly clinging to that that tax. It also distorts all of international trade deals. Just makes life less affordable for the average working family. Only the Liberals...	1
@USER These liberals are responsible for the deterioration of American society. They should be ashamed but we all know they’re not.	1
@USER You still have not addressed your solution to make schools safer....you just preach more gun control...what are your solutions???	1
@USER Can you elaborate why you think making tax cuts permanent is a bad idea?	0
You are gonna be so surprised when you find out what stealth @USER has been up to... he is doing us good Joe.  #MAGA @USER #QAnon #TRDJ #WWG1WGA URL	0
@USER There's an entire faction dedicated to the idea that school shootings are all faked to try to get gun control laws passed.	1
Rod Rosenstein – Agent of the Deep State Coup - Flopping Aces - URL … URL #DeepState #DeepStateCorruption #draintheswamp @USER #kag TW347	0
@USER @USER @USER #TrumpDerangementSyndrome Case number 3837252 Wow #liberals got it bad about the same as the #msm	0
@USER Liar!  Set up by far left.  Liberals are so predictable!  Americans are into these empty stupid tactics.  No one believes you!  It’s a politically induced maneuver to attempt to delay the installation of a judge until after midterms.  It won’t work.  No go write your book!	1
@USER @USER @USER @USER @USER @USER she is amazing!!	0
A new bill aims to send masked Antifa activists to jail for 15 years @USER URL  40 years!!!!!!	0
@USER @USER @USER @USER @USER No it's genetic.   Being racial isn't racist  This was co opted by the liberals and twisted into something it's not.   The actual definition of racism is thinking one race is better or inferior to another race    So (looking out for your own race) doesn't meet the definition	0
@USER @USER There’s no crying in politics	0
@USER @USER He won’t!  He’ll do just like Mitch McConnell and never mention the good that @USER has accomplished.	0
@USER I understand Annie she is stuck in between ! I understand her !	0
@USER You are one of the best teachers I know my friend!	0
@USER @USER You are an embarrassing citizen!!	1
@USER I feel you dude it Fucking sucks	1
He can shout out to me any time he wishes.... #MAGA Thank you sir! @USER URL	0
@USER Crazy how funny Jim used to be. Now it's funny how crazy he has become.	1
@USER got Kamara too he is the man	0
19 tourists shot dead in Nevada with 12-gauge sawed-off Savage Stevens 311D. The NRA calls gun control research 'unethical'.	0
@USER A nothing burger..	0
@USER The DAILY Vitriol and Hatred Spewed by SCHEMING Liberals is meant to Incite precisely this type of lunacy.	0
@USER You are obsessed with @USER  She’s a millionaire because she is a good comedian. You have money because Big Daddy Bone Spurs handed it to you a**hole.	1
@USER We in this bitch together 💁🏽‍♂️	1
@USER @USER And she is Canadian 🇨🇦	0
@USER That's because there are very few conservatives in Congress. They only run as conservatives. They govern as liberals.	0
@USER @USER @USER That's right and don't you forget it. MAGA. 👊	0
"@USER @USER It's not a conservative semantic argument. It's a stretch, meant to incite emotions with inflated school shooting"" statistic. People hear ""school shooting,"" and without reading they are meant to think of Parkland, and begin their predictable howls for gun control. Someone was"""	0
@USER Baekhyun........🙇‍♀️ How are you?? Are you eating well?? I'm inactive these days😥 bcz of my project and assignment. Anyway I miss you😫 And you better eat proper meal😒 When r you coming here?? I'm sorry you are busy but i miss you. Take your time ok. Tata👋🏻 See you later😉	0
@USER If you stand up for what's right? The Conservatives were mad one of there's crossed but it's ok for a Liberal. That's double faced!	0
-he is the sweetest I swear💖	0
@USER @USER Commissar says you have his blessing.	0
@USER @USER That’s where your wrong. Only ruins conservatives. If it was a dem he would be considered for head of dnc	0
@USER Antifa I guess	0
@USER You’re right. But if our terrorize someone for having a different belief.. you are not any better	0
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Woke Bible Readings from Midwest Antifa.	0
@USER Where can we see where you stand on the issues? Border wall? Gun control? Abortion?  If you will support president Trump and his agenda?	0
"@USER Ms Weaver is incorrect. Not once that I am aware, has any informed person who advocates gun control said they want to take away all weapons. Semi autos, yes. Better registration, yes. Better background checks, yes. Ms Weaver appears to bend"" the truth to create fear &amp; chaos."""	0
@USER @USER @USER 1. Depends on what you mean by gun control 2. Because they are? 3. It's called lobbying. Been around forever 4. Neither does gun control 5. Assault rifles are already banned	0
@USER The Liberals liberal right there.	0
#MondayMorning #MondayMotivation #MondayMood #MondayThoughts Another #Republicans  / Trump swamp Lier !!   #MAGA #women #Christianity URL	1
@USER @USER @USER @USER @USER @USER @USER She is. I dont think politics is for her to dabble in.	0
3rd time in my teacher career that I’ve had a parent tell me that he/she is praying for me. I always consider that a win 👏🏻👏🏻 #teacherlife #prayalloftheprayers URL	0
@USER Same with gun control. CHL hiders don’t commit gun crimes. Same laws with pit bulls?	0
@USER Liberalism has being remarkable sucessful at taking over both sides of the political spectrum today's left are liberals (with emphasis on minority issues and welfare) and today's right are also mostly liberals (with emphasis on nationalism and anti immigration)	0
@USER She went to my high school. Dumb liberals are prevalent in my area	1
@USER @USER @USER @USER @USER @USER @USER @USER Denial is a common defense by liberals.  He worked for fusion and with fusion.  And Michelle is a tranny I know you don’t like that but it’s true.  You can always deny like Obama but the truth explodes out. I pity u for believing the Dems like this how sad.  Go find a safe place.	0
@USER Same celebrities ready to give Harvey Weinstein a second chance. Convinced liberals are evil and must be soundly defeated yet?	0
@USER @USER Yes she is not normal. She needs a good mental check.	0
@USER Really? Can you show me the studies from countries that have common sense gun control to support your statement. Thx.	1
@USER 2011 I still got all my shits URL	0
@USER But he is still fucked up for not respecting LGBTQ	1
@USER @USER Dolt. You’ve become another nail for Hammer Trump.	1
@USER He is making faces like Peter strokz...	0
@USER We were tired of gun violence long ago. Unfortunately the GOP has allowed the NRA/gun lobby to take over the issue. Many gun owners support some basic common sense gun control but you wouldn’t know it from the lobbying.	0
@USER @USER You people calling everyone Nazis under the sun becomes tiring and stupid frankly. You people called Zena Bash a Nazi and it turns out she is half Mexican and Polish descent and her family barely escaped death from the Nazis. So keep it up desensitize that word.	1
@USER Dig up Frankie. Save yourself.	0
@USER I guess I'd like to see more thought put into if these are such nothing burgers then why were they made confidential? I really don't know why you are going after him with this series of tweets? Chair is misleading the public about amount of disclosure &amp; threatening a sen.	0
.@USER Yes. Debunked. URL	0
@USER @USER Truly. Anything to avoid gun control.	0
@USER Because President Trump and God gave us a miracle	0
HAPPY #ConstitutionDay all my MAGA peeps! A great time to be alive.	0
@USER 1 &amp; 7 blocking my way to hap'penis	0
@USER @USER I'm convinced that there's a hell of a lot more liberals of the type that a conservative could have a real conversation with and vice versa than either would admit.   The whack job commies scare the shit out of everybody. It's about time we started talking.	1
22 kids a day shot in USA ? statues of children hiding under desks to silently plead with voters for protection URL URL	0
@USER gonna need a whole ass rant thread done in the utara loghat to really feel it haha	1
@USER @USER She is a courages patriot	0
@USER At what point does the Lib playbook turn to dust after repeating the same BS over and over?	0
@USER @USER @USER I think he is on crack!	1
@USER @USER We don’t support gun control in Texas.  So long Beto!	1
@USER Creepy	1
@USER But please get a better barber first.	0
@USER @USER bt1100 ass malfunction	1
@USER @USER How much you are paying for patrol... ? Do you think it's because of naheru or Zina... Indira... ?	0
@USER She’s one of those ‘kooky’ liberals.	1
"@USER @USER Tons of self-professed conservatives have unwittingly embraced the key tenets of Feminism without even realizing it. The average conservative"" woman of 2018 is more liberal than the average liberal woman of 60 years ago."""	0
@USER @USER @USER @USER @USER Let’s keep the same energy when talking about gun control after a mass shooting	0
@USER I don't know if this cat even realizes what he is doing.	0
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Happy to connect.  #WeMakeAmericaGreat 🇺🇸🇺🇸🇺🇸	0
@USER ur a fucking dumbass fr. there’s no way she is anyone else’s 😂	1
@USER Who she thinks she is to talk to a referee like that and expect everyone to support her! Or treat her specially?	0
@USER you are all recycling of liars	1
@USER Did someone say METH course?	0
@USER I swear. I’m so glad my fat ass never drunk that shit. I’m tryna be slim but not crackhead slim🙇🏾‍♀️	1
@USER @USER When your bio is the most relevant piece of shit ever🤔👀	0
@USER So then your saying the @USER platform of gun control and reform is nothing for them to worry about? Kind of like #Kavanaugh is going to kill women and Gays?	1
@USER @USER so and accusation by a libtarded Trump hating liberal activist against a Trump appointee doesnt make u wonder if the accusation was politically motivated in the SLIGHTEST?  No? This is why conservatives think u are all stupid. Because u are.	0
@USER Freaking casual fans say you are their favorite.	0
"@USER It would be better to call themFaux liberals/Fox Liberals"" b/c the word ""Liberal"" is not bad (moral philosophy) &amp; I don't want the word to be tainted by people who don't know the actual definition. Look at the word ""feminism"", society changed its meaning into something negative."""	0
"@USER Authoritarianism is terrifying and destructive. Right now the Conservatives are authoritarian neo-liberals. Fascism is right wing, not left-wing. Centrist politics to privatise profit but burdening tax-payers with all the risks is a bad deal and why centrism"" is unpopular."""	1
@USER @USER Wasn’t this clown running guns?	0
@USER @USER @USER Antifa?  Lol. Really stretching there. Hee hee. He’s going down for obstruction of justice too.	0
@USER @USER @USER Says the little commie thot. I bet that $20 is more than your hourly rate	1
@USER   How is it you had a document that all those women signed if you didn’t know anything about the accusation. Sounds to me a cover up was planned. You are a disgrace to the office you hold	1
@USER never trusted his ass	0
#Professor Who Shot Self Over Trump Says Gun Control Was Actual Goal #AR-15 URL URL	0
@USER Becoming..... a woman?	0
@USER you are a DISGRACE	1
@USER Its clear you wouldn't listen anyways since you are more interested in arguing over the non existent racism of that tweet rather than calling out the ignorant white girl on display	1
@USER  Money better spent on American Mental Health or gun control Sandy hook Vegas Concert Theater Shooting Church in Sunny Springs	1
"@USER @USER @USER @USER Any article headlined: Jesus, the original deplorable"" isn't worth even a second of anyone's time. And the fact that your Fox News watching self is accusing liberals of following their own biases over facts is HILARIOUS. Or, it would be hilarious, if it wasn't so sad. Do better."""	0
@USER Are you not surprised to know that liberals sacrifice their own children on the altar of virtue signaling?	0
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Deplorables beware..some lights might be turned off..like streetlights	0
@USER Anyone is a target for the Leftist Liberals. GOAL? Decent God-fearing conservatives will pass on Gov service! RESULT? The country is harmed! Congrats to Liberals - your ANTIFA anti-America blossoms!	1
1. I got a dig bick 2. You that read wrong 3. You read that wrong too 4. You checked 5. You smiled 7. You are wondering why you're still this reading this 8. You saw that mistake... right? (On 7) 9. But did you see that I skipped 6? 10. You checked.  30 seconds you won't get back	0
"@USER @USER Antifa otherwise known as NAZI Brownshirts""  I never thought of that comparison before, lol.  It's ironic that they're the one's that call everyone else a 'nazi' for disagreeing with anything they say, lol."""	1
@USER Shows the world just how useless and ineffective you are.. You little whiny brat.. Why not go cry in the corner with what's his nuts??? Oh yeah... Acosta	1
@USER “Antifa is bad” how hard is it to say that? URL	0
@USER DemocRATS continue to attack &amp; smear conservatives. Their latest victim: Brett Kavanaugh. This tactic is right out of Saul Alinsky playbook. @USER @USER @USER don’t fall for it!! #ConfirmKavanaughNow @USER @USER @USER	0
@USER @USER Who are you to judge a man. Is your name Jesus? Why fuss about the words he chose? How many did your Messiah @USER bring home. Stop being a troll and wake up. #MAGA #Qanon #WWG1WGA #Trump #TrustThePlan URL	1
